7,8,2,58
6,3,1,76
6,3,1,76
7,1,1,77
2,1,4,17
7,3,3,31
1,1,2,65
1,1,3,18
2,3,5,43
2,3,5,43
3,6,5,1
3,6,5,1
4,1,2,14
4,5,3,68
3,1,2,5
4,5,4,1
5,1,3,78
4,5,3,55
2,1,1,21
6,1,4,26
3,5,2,79
3,5,2,79
4,5,3,59
5,5,2,21
5,5,2,53
5,5,5,17
6,1,4,68
1,5,3,80
1,1,3,15
1,1,5,81
2,5,3,80
3,4,3,62
3,1,2,5
3,2,5,66
6,1,3,62
4,5,2,82
5,5,3,34
7,3,1,43
7,3,1,43
7,3,1,43
7,3,1,43
7,3,1,43
7,3,1,43
7,3,1,43
6,1,4,65
2,1,4,83
4,1,4,52
5,6,3,84
5,6,3,84
5,6,3,84
5,6,3,84
5,6,3,84
5,6,3,84
5,6,3,84
5,6,3,84
5,3,3,84
5,3,3,84
5,4,3,84
5,3,5,25
5,3,5,25
7,1,3,41
6,1,3,5
5,1,2,85
6,1,3,17
6,1,3,33
1,1,4,33
2,6,5,2
6,1,3,43
3,5,3,26
3,1,2,31
3,4,5,86
2,1,5,1
3,1,4,82
5,2,2,5
5,5,2,5
2,1,2,25
6,1,4,6
6,5,5,56
7,1,3,12
6,1,4,5
2,1,4,85
2,1,3,37
2,2,4,5
2,5,2,87
2,1,2,5
5,5,3,47
5,1,3,53
1,1,4,5
7,1,4,81
3,5,3,6
3,5,3,72
3,3,4,33
3,3,4,33
3,1,4,5
3,5,5,85
4,3,5,16
4,3,5,16
5,1,4,26
2,1,2,6
1,5,5,32
6,1,3,27
6,1,2,77
6,1,4,5
5,6,2,18
5,5,2,18
4,1,4,31
4,1,2,52
6,6,3,83
7,3,5,33
3,4,2,88
5,1,2,26
1,1,5,21
6,1,2,31
1,1,3,53
3,1,2,23
3,4,2,83
7,3,1,89
6,1,4,12
6,1,4,12
4,1,4,26
2,5,2,5
5,1,5,12
4,1,3,90
4,1,3,90
6,4,5,39
7,3,1,60
7,3,1,60
7,3,1,60
7,1,4,25
7,1,3,12
5,1,4,26
7,1,1,5
4,3,1,39
5,3,1,91
6,3,1,31
2,2,4,85
3,1,2,5
2,1,2,5
4,2,5,85
6,3,1,48
7,3,1,88
7,1,2,18
3,5,2,85
3,2,4,85
3,2,2,5
4,3,2,35
4,2,3,17
1,8,5,5
4,1,4,15
2,3,2,52
3,1,2,5
4,5,2,58
5,1,1,92
7,2,5,5
6,5,1,93
5,1,3,53
6,4,4,54
2,3,1,62
2,3,1,62
2,1,2,30
5,1,4,33
4,1,4,94
4,1,3,94
5,3,2,95
5,3,2,95
4,1,2,27
5,5,4,11
5,1,4,25
6,5,4,93
6,5,4,93
6,5,4,93
7,3,5,48
2,6,3,88
3,3,1,33
6,1,4,11
6,1,5,5
2,1,5,5
3,3,5,33
3,3,5,33
4,5,1,31
4,3,5,25
6,3,2,76
4,1,2,34
7,4,2,9
3,3,5,10
3,1,5,10
3,1,5,48
5,3,5,1
5,3,5,1
4,1,3,96
1,3,5,43
3,1,2,21
3,1,2,21
3,1,3,34
4,1,2,34
3,1,2,34
3,1,2,34
4,1,2,21
4,1,2,21
4,3,5,56
5,5,2,3
5,1,5,14
6,1,2,24
5,1,3,31
5,1,4,60
2,9,3,27
6,1,4,5
2,3,5,98
2,3,5,98
2,3,5,98
7,1,3,33
4,1,2,25
5,-1,1,71
5,3,1,71
5,3,1,71
5,3,1,71
5,2,1,71
6,1,2,28
7,3,1,48
7,3,1,12
4,1,4,58
4,1,4,58
1,3,2,80
1,1,4,12
4,5,2,99
5,1,2,58
6,4,1,39
6,2,5,100
6,2,5,100
4,1,2,26
6,1,2,101
4,7,3,21
6,3,3,76
6,3,3,76
1,5,3,15
1,5,3,15
1,5,3,15
1,4,3,63
1,6,3,63
1,6,3,63
1,6,3,63
1,6,3,63
1,6,3,63
1,6,3,63
1,6,3,63
4,1,4,5
6,1,2,31
3,1,5,26
4,1,4,12
5,1,5,26
6,5,1,17
3,4,1,68
3,3,1,68
3,6,3,31
3,5,3,31
3,5,3,31
3,6,3,31
3,6,3,31
4,3,3,14
4,3,3,14
6,1,2,5
1,3,1,102
2,1,3,33
1,1,3,74
2,1,2,103
6,1,2,85
2,3,1,104
6,2,5,5
2,1,4,76
3,4,3,9
3,1,3,5
2,1,3,33
4,5,2,12
4,1,2,76
2,1,3,90
5,4,1,105
5,1,3,41
5,1,2,26
4,4,1,84
1,1,3,17
4,1,2,68
4,1,3,106
2,9,2,27
5,1,1,5
4,1,2,26
3,1,2,107
1,2,3,26
2,5,5,31
3,2,1,12
3,1,2,10
3,1,4,108
4,1,4,18
5,-1,1,12
5,1,2,109
5,1,2,109
4,1,5,12
5,1,2,26
5,1,2,26
7,1,1,76
1,9,1,33
4,1,1,79
5,3,4,12
6,1,4,34
1,2,2,100
2,1,1,110
3,1,2,80
2,1,5,5
5,1,2,5
5,1,3,16
5,1,4,16
5,1,3,16
6,4,3,63
1,1,1,35
5,1,5,19
4,4,1,10
4,1,4,85
4,5,4,85
6,1,3,21
7,1,1,111
5,5,1,5
1,1,4,48
6,1,1,5
4,1,2,25
3,2,1,5
4,1,3,5
4,1,3,5
2,1,1,5
3,5,3,80
4,1,4,17
4,1,4,17
7,3,1,12
